faculty_id,name,gender,email,phone,university,department,designation,years_experience,highest_degree,research_areas,max_students_capacity,current_assigned_students
FAC0001,Dr. Lamia Sultana,F,lamia.sultana1@east.edu.bd,01979312697,East West University,Civil Engineering,Assistant Professor,23,Ph.D. in Electrical Engineering,Natural Language Processing,8,3
FAC0002,Dr. Shakib Zaman,M,shakib.zaman2@american.edu.bd,01838787535,American International University-Bangladesh (AIUB),English,Associate Professor,4,Ph.D. in Civil Engineering,Embedded Systems; Bioinformatics; Structural Engineering,5,2
FAC0003,Dr. Mou Bhuiyan,F,mou.bhuiyan3@ahsanullah.edu.bd,01712371067,Ahsanullah University of Science and Technology (AUST),Electrical & Electronic Engineering,Professor,16,Ph.D. in Electrical Engineering,Software Engineering; Cloud Computing,5,1
FAC0004,Dr. Shovon Sarker,M,shovon.sarker4@university.edu.bd,01595922483,University of Liberal Arts Bangladesh (ULAB),Pharmacy,Assistant Professor,12,Ph.D. in Electrical Engineering,Renewable Energy Systems; Public Policy,10,8
FAC0005,Dr. Nazia Molla,F,nazia.molla5@american.edu.bd,01622710433,American International University-Bangladesh (AIUB),English,Professor,7,Ph.D. in Business Administration,Public Policy; Cybersecurity; Data Privacy,5,2
FAC0006,Dr. Hridoy Sultana,M,hridoy.sultana6@north.edu.bd,01546945964,North South University,Architecture,Assistant Professor,5,Ph.D. in Civil Engineering,Natural Language Processing; Human-Computer Interaction; Financial Economics,5,1
FAC0007,Dr. Arafat Talukder,M,arafat.talukder7@ahsanullah.edu.bd,01599949732,Ahsanullah University of Science and Technology (AUST),Civil Engineering,Senior Lecturer,21,Ph.D. in Electrical Engineering,Cloud Computing,15,12
FAC0008,Dr. Rafi Akter,M,rafi.akter8@ahsanullah.edu.bd,01976754813,Ahsanullah University of Science and Technology (AUST),Business Administration,Lecturer,18,Ph.D. in Computer Science,Computer Networks; Machine Learning,8,8
FAC0009,Dr. Sharmin Zaman,F,sharmin.zaman9@american.edu.bd,01442687741,American International University-Bangladesh (AIUB),Civil Engineering,Associate Professor,13,Ph.D. in Data Science,Bioinformatics,15,6
FAC0010,Dr. Rukhsar Khan,F,rukhsar.khan10@independent.edu.bd,01652037583,Independent University Bangladesh (IUB),Architecture,Associate Professor,14,Ph.D. in Public Health,Embedded Systems,15,6
FAC0011,Dr. Sifat Uddin,M,sifat.uddin11@daffodil.edu.bd,01660440907,Daffodil International University,Civil Engineering,Assistant Professor,3,"M.Sc. in Computer Science, Ph.D. candidate",Entrepreneurship,10,10
FAC0012,Dr. Trisha Khan,F,trisha.khan12@university.edu.bd,01921610705,University of Liberal Arts Bangladesh (ULAB),Public Health,Associate Professor,4,Ph.D. in Civil Engineering,Embedded Systems,8,2
FAC0013,Hridoy Karim,M,hridoy.karim13@brac.edu.bd,01366013824,BRAC University,Media & Journalism,Associate Professor,13,Ph.D. in Civil Engineering,Software Engineering; Embedded Systems; Public Policy,10,8
FAC0014,Dr. Zawad Sultana,M,zawad.sultana14@east.edu.bd,01579197111,East West University,Public Health,Assistant Professor,23,Ph.D. in Computer Science,Renewable Energy Systems; Natural Language Processing,10,1
FAC0015,Dr. Fahim Khan,M,fahim.khan15@united.edu.bd,01932406424,United International University (UIU),Computer Science & Engineering,Associate Professor,3,Ph.D. in Economics,Financial Economics; Data Privacy; Computer Networks,8,4
FAC0016,Dr. Wasif Haque,M,wasif.haque16@university.edu.bd,01659558720,University of Liberal Arts Bangladesh (ULAB),Civil Engineering,Professor,8,"M.Sc. in Computer Science, Ph.D. candidate",Public Policy; Data Privacy,10,1
FAC0017,Dr. Jannatul Mia,F,jannatul.mia17@bangladesh.edu.bd,01383437401,Bangladesh University of Professionals (BUP),Pharmacy,Assistant Professor,24,"M.Sc. in Computer Science, Ph.D. candidate",Financial Economics,15,8
FAC0018,Dr. Nayeem Chowdhury,M,nayeem.chowdhury18@independent.edu.bd,01467551254,Independent University Bangladesh (IUB),Media & Journalism,Assistant Professor,21,Ph.D. in Computer Science,Public Policy; Computer Networks,10,0
FAC0019,Dr. Rayhan Mia,M,rayhan.mia19@north.edu.bd,01757640381,North South University,Media & Journalism,Assistant Professor,21,Ph.D. in Public Health,Structural Engineering; Data Privacy; Human-Computer Interaction,10,5
FAC0020,Dr. Ishrat Zaman,F,ishrat.zaman20@east.edu.bd,01722501425,East West University,Media & Journalism,Lecturer,19,Ph.D. in Business Administration,Bioinformatics; Embedded Systems,15,6
FAC0021,Dr. Afsana Khan,F,afsana.khan21@united.edu.bd,01613285072,United International University (UIU),Economics,Professor,12,"M.Sc. in Computer Science, Ph.D. candidate",Software Engineering,8,3
